date,contract_preamble,volume,3.5,4.5,7.5,6.5,8.5,1,2.5,5.5,5,1.5,9.5,7,3.3,2.3,1.8,2.8,4.3,4.8,5.3,5.75,3.8,0.8,1.3
2022-03-27,ACPI-24,0,92.47091071212338,0.9340496031527614,NA,1.9247916689600513,NA,0.9340496031527614,0.9340496031527614,2.8021488094582843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-28,ACPI-22,0,10.069522314420272,16.81991477909845,21.305225386858037,21.305225386858037,11.437542049786945,NA,NA,19.062570082978244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-28,ACPI-23,0,0.9236718004726783,0.9236718004726783,7.31832272682199,88.67249284537712,2.161840826855543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-28,ACPI-24,0,92.47091071212338,0.9340496031527614,NA,1.9247916689600513,NA,0.9340496031527614,0.9340496031527614,2.8021488094582843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-29,ACPI-22,98,10.420051055929449,13.92434439545138,22.046878626131353,22.046878626131353,11.835692736133671,NA,NA,19.72615456022279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-29,ACPI-23,0,0.9236718004726783,0.9236718004726783,7.31832272682199,88.67249284537712,2.161840826855543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-29,ACPI-24,0,92.47091071212338,0.9340496031527614,NA,1.9247916689600513,NA,0.9340496031527614,0.9340496031527614,2.8021488094582843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-30,ACPI-22,130,10.131569811844756,16.30736652086371,21.436506283413177,21.436506283413177,11.508019162674442,NA,NA,19.180031937790737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-30,ACPI-23,0,0.9236718004726783,0.9236718004726783,7.31832272682199,88.67249284537712,2.161840826855543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-30,ACPI-24,0,92.47091071212338,0.9340496031527614,NA,1.9247916689600513,NA,0.9340496031527614,0.9340496031527614,2.8021488094582843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-31,ACPI-22,0,10.131569811844756,16.30736652086371,21.436506283413177,21.436506283413177,11.508019162674442,NA,NA,19.180031937790737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-31,ACPI-23,0,0.9236718004726783,0.9236718004726783,7.31832272682199,88.67249284537712,2.161840826855543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-31,ACPI-24,0,92.47091071212338,0.9340496031527614,NA,1.9247916689600513,NA,0.9340496031527614,0.9340496031527614,2.8021488094582843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01,ACPI-22,0,10.131569811844756,16.30736652086371,21.436506283413177,21.436506283413177,11.508019162674442,NA,NA,19.180031937790737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01,ACPI-23,0,0.9236718004726783,0.9236718004726783,7.31832272682199,88.67249284537712,2.161840826855543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-01,ACPI-24,0,92.47091071212338,0.9340496031527614,NA,1.9247916689600513,NA,0.9340496031527614,0.9340496031527614,2.8021488094582843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-02,ACPI-22,0,10.131569811844756,16.30736652086371,21.436506283413177,21.436506283413177,11.508019162674442,NA,NA,19.180031937790737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-04-02,ACPI-23,0,0.9236718004726783,0.9236718004726783,7.31832272682199,88.67249284537712,2.161840826855543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
